Winner,Alice,Medusa,Sinbad,King Arthur,Bruce Lee,Bigfoot,Robin Hood,InGen,Raptors,Dracula,Sherlock Holmes,Jekyll & Hyde,Invisible Man,Buffy,Angel,Spike,Willow,Beowulf,Little Red Riding Hood,Deadpool,Achilles,Bloody Mary,Sun Wukong,Yennenga,Luke Cage,Ghost Rider,Moon Knight,Daredevil,Bullseye,Elektra,Dr. Sattler,T. Rex,Houdini,The Genie,Ms. Marvel,Squirrel Girl,Cloak & Dagger,Black Widow,Black Panther,Winter Soldier,She-Hulk,Doctor Strange,Spider-Man,Nikola Tesla,Annie Christmas,Dr. Jill Trent,Golden Bat,Oda Nobunaga,Tomoe Gozen,Shakespeare,The Wayward Sisters,Hamlet,Titania,Ancient Leshen,Ciri,Eredin,Geralt of Rivia,Philippa,Yennefer,Triss,Chupacabra,Pandora,Blackbeard,Loki,Muhammad Ali,Leonardo,Michelangelo,Donatello,Raphael,Shredder,Krang
Houdini,75,24,65,50,55,35,40,85,67,53,62,67,100, -   ,100,100,100,57,70,,44,90,49,47,64,83,59,61,75,31,30,45,,50,100, -   , -   ,73,35,93,29,47,75,74,71,50,72,60,65,44,58,100,60,83,73,37,40,73,82,82,50,50,63,67,,,,,,,
The Genie,44,28,32,71,43,13,59,56,63,59,45,67,67, -   ,67,67,,31,40,29,16,48,37,30,12,69,30,74,68,50,30,50,50,,30,40,53,45,48,55,20,23,20,31,61,24,21,35,54,55,39,100,35,48,38,49,63,59,44,67,75,73,54,59,100,75,100,100,72,50,43
Ms. Marvel,29, -   ,38,18,33,14,63,33,35,31,67,58,92,55,,33,100,71,22,100,14,36, -   ,23,14,56,43,60,70,20,18,50, -   ,70,,35,44,22,65,33,40,33,25,46,22,50,50,22,33,42,57,63,100,100,100, -   ,33, -   ,50,,100,75,100, -   ,100,,,,100,,
Squirrel Girl,33,,67,83,39,33,50,50, -   , -   ,,19,60,38,57,50,71, -   ,60,38,25,65, -   ,33, -   ,25,, -   ,33,100, -   ,67,100,60,65,,27,,67, -   ,100,50,85,,50, -   ,50,50, -   ,, -   , -   ,, -   ,,100,100,100,,,,,,,,,50,,,,
Cloak & Dagger,35,20,58,75,45,100,62,,50,44,50,65,24,43,67, -   ,,41,30,86,44,25, -   ,44,22,38, -   ,100,59, -   ,54,75,100,47,56,73,,40,60,50,,100,56,35,38, -   , -   ,100,67,47, -   ,71, -   ,,59,100,22, -   ,67,,100, -   ,33,100, -   ,,,,,,
Black Widow,41,42,34,40,33,13,57,39,51,42,32,67,100,,,,,38,25,,43,40,49,53,20,20,29,67,59,17,55,15,27,55,78,,60,,56,52,21,50,53,26,39,38,14,60,29,55,36,44,62,35, -   , -   ,62,100,50,20,,33,29, -   ,,,,,,,
Black Panther,48,22,41, -   ,61,42,85,38,19,65,18,100,50,80,, -   ,,85,70,100,43,67,44,55,34,69,35,58,95,50,83,57,65,52,35,33,40,44,,38,22,24,43,34,62,45,11,33,39,43,100,68,57,75,50,36,25,50,22,,50, -   ,50,,,, -   ,, -   ,,
Winter Soldier,43,54,58,100,25,18,58,74,15,35,17,20,,50,, -   ,,71,26,75,25,100,57,42,19,58,23,48,57,40,60,10,7,45,67,100,50,48,62,,32,37,50,27,13,50,78,67,23, -   , -   ,50,38,38,67,33, -   , -   ,21,100, -   ,,100, -   , -   ,,,, -   ,,100
She-Hulk,44,49,54,100,67,46,56,57,30,80,36,50,33,,,,,67,74,100,45,75,51,62,52,92,45,57,67,44,100,54,71,80,60, -   ,,79,78,68,,43,60,54,60,56,22,100,27,75,75,100,60,38,75,29,50,50,57,,100,100,,33,,,,, -   ,50,
Doctor Strange,100,51,85,,25,51,88,67,100,64,38,,100,100,,,,100,83,50,54,67,79,42,67,33,42,59,33,69,100,25,53,77,67,50, -   ,50,76,63,57,,85,32,50,64,49,100,54,50,100,100,38,60,50,50,, -   ,75,100,86,75,55,44,,,,,,,
Spider-Man,75,, -   ,60,52,43,57, -   ,20,30,,74,29,47,100,60,86,20,7,30,43,17, -   ,20,29, -   ,8,29,57,100,62,33,25,80,75,15,44,47,57,50,40,15,,100,25, -   ,25,52,9,75,14,55,50,33, -   ,25,10,33, -   , -   ,100,,100,60,100,,50,,,,
Nikola Tesla,58,51,44,100,32,32,76,92,33,88,20,50,100,100,33, -   ,100,100,43,,43,75,58,59,24,86,42,81,73,50,88,36,26,69,54,,65,74,66,73,46,68, -   ,,57,58,47,40,43,68,53,33,49,76,32,44,70,56,44,33,75,33,63,44,100,33,43,33,29,17,50
Annie Christmas,63,31,51,100,67,55,81,25,30,40,28,60,35,67,,100, -   ,59,67,,40,60,10,39,61,64,64,65,63, -   ,43,60,29,39,78,50,62,61,38,88,40,50,75,43,,30,53,100,67,63,39,71,44,35,50,22,49,80, -   ,50,,100,33, -   ,50, -   ,, -   ,,,
Dr. Jill Trent,50,49,52,100,58,61,84,69,39,70,80,100,,100,100,,,80,32, -   ,49,90,38,49,40,35,73,19,100,33,90,44,50,76,50,100,100,62,55,50,44,36,100,42,70,,36,50,43,83,67,70,63,46,64,59,85,100,45,43,59,57,38,47,, -   ,,,,,
Golden Bat,52,67,44,83,67,54,63,81,41,72,62,86,100,100,100,50,,100,57,100,53,66,30,77,40,42,70,76,35,50,100,43,28,79,50,50,100,86,89,22,78,51,75,53,47,64,,100,39,88,33,67,70,60,73,60,63,80,73,100,50,33,62,50,,,,, -   ,,100
Oda Nobunaga,50,100, -   ,20, -   , -   ,35,,79,11, -   ,63,47,37,67,100,100,20,38,89,23,56, -   , -   ,50,100,100,40,50,, -   ,100,40,65,78,50, -   ,40,67,33, -   , -   ,48,60, -   ,50, -   ,,51, -   ,33,86,20,100, -   ,,100,, -   ,, -   ,33, -   ,75,,,,,,,
Tomoe Gozen,50,26,46,100,44,32,52,53,37,65,35,56,,100,100,50,100,53,42,50,35,42,9,33,29,85,60,82,74, -   ,62,34,35,46,67,100,33,71,61,77,73,46,91,57,33,57,61,49,,67,54,25,52,57,59,33,47,49,42,11,42,42,45,51,100,78,56,43,25, -   ,100
Shakespeare,59,33,69,50,50,38,52,50,36,13,50,100, -   , -   ,50,,100,47,49,100,24,50, -   , -   ,12,100,48,39,67,33,100,24,56,45,58,,53,45,57,100,25,50,25,32,37,17,13,100,33,,40,35,44,80, -   ,75,32,78,100,67, -   ,,50, -   , -   ,100,,,,,
The Wayward Sisters,33,50,29, -   ,47,30,37,80,31,67,67,67,100,100, -   ,,, -   ,26,33,35,50, -   ,13,31,100,22,31,50,,38,44,42,61,43,100,100,64, -   ,100,25, -   ,86,47,61,33,67,67,46,60,,69,31,64,100,40,53,56,80,27, -   , -   , -   ,60,50,,,100,, -   ,
Hamlet,40,33,34, -   ,25,33,36,,27, -   , -   ,25,50,50, -   ,100,,11,36, -   ,42,40,,50,20,67,30, -   ,67, -   , -   , -   , -   , -   ,37,100,29,56,32,50, -   , -   ,45,67,29,30,33,14,75,65,31,,38,50,100, -   ,100, -   ,,33,, -   ,50,40,,,33,,,100,
Titania,50,21,58,100,100,22,47,48,32,38,61,67,100,50, -   , -   ,100,100,39,,38,25,21,25,39,67,40,50,57, -   ,43,59,40,65, -   ,,100,39,43,62,40,62,50,51,56,38,30,80,48,56,69,62,,53,20,39,53,29,40, -   ,25,50,14,29,100, -   ,100,100, -   ,50,
Ancient Leshen,50,47,60,100,33,58,50,71,36,62,67,, -   , -   ,100,,,50,39,100,54,60,43,16,39,25,63,27, -   ,25,100,6,17,52, -   ,100,,65,25,63,63,40,67,24,65,54,40, -   ,43,20,36,50,47,,56,56,43,44,44,33,40,50,33,60,,50,100,50,, -   , -   
Ciri,83,31,55, -   ,47,53,67,100,38,69, -   , -   , -   ,,100,,,,38,,54,100,36,64,63,100,55,70,54, -   ,100,38,27,62, -   ,,41,100,50,33,25,50,100,68,50,36,27,100,41,100, -   , -   ,80,44,,55,60,74,35,45,69,60,44,67,50,100,,100,50,100,
